282033280:[51.5649803, 7.4410044]
282033281:[51.5650678, 7.4405768]
290814169:[51.5424606, 7.4218596]
292251005:[51.5468934, 7.449295]
292251418:[51.5475212, 7.4471246]
292251420:[51.5480113, 7.4465665]
292252130:[51.553574, 7.442252]
292252132:[51.5544381, 7.4421228]
292252134:[51.5551798, 7.4422896]
292252675:[51.5564716, 7.4427878]
292252678:[51.5566802, 7.4430916]
292252717:[51.5561983, 7.4425818]
292252758:[51.5519373, 7.4443345]
292252761:[51.5528168, 7.442661]
292253200:[51.5524761, 7.4432552]
292253350:[51.5476952, 7.4468497]
292255068:[51.550657, 7.4473792]
292274241:[51.5551385, 7.4424442]
292274242:[51.5548866, 7.4447967]
292274243:[51.5549435, 7.4449385]
292274244:[51.5547405, 7.4453096]
292274245:[51.5546531, 7.4456971]
292274246:[51.5547365, 7.4461654]
292274854:[51.5544023, 7.4442428]
292274855:[51.5542615, 7.44432]
292274856:[51.5541174, 7.4443801]
292274857:[51.5537919, 7.4443629]
292274858:[51.5535624, 7.4443887]
292274863:[51.5530902, 7.4469562]
292275043:[51.5546594, 7.444497]
292275045:[51.5532635, 7.4448178]
292275047:[51.5530187, 7.4458622]
292275125:[51.5543844, 7.4439825]
292275268:[51.5543757, 7.4431271]
292275419:[51.5533756, 7.4445689]
292275420:[51.553085, 7.4454711]
292275454:[51.5534486, 7.4444985]
292275456:[51.5523943, 7.4442228]
292275598:[51.5532955, 7.4443715]
292275675:[51.5531556, 7.4443005]
292275682:[51.5531546, 7.443414]
292275700:[51.5528785, 7.4436604]
292275714:[51.5541521, 7.4454344]
292275716:[51.5534509, 7.4451775]
292275738:[51.5542333, 7.4455478]
292275739:[51.5538106, 7.4452597]
292275780:[51.5530295, 7.4461875]
292275790:[51.5523012, 7.4462191]
294005293:[51.5455151, 7.4580685]
294005294:[51.5461666, 7.4567707]
294005295:[51.5468018, 7.4556292]
294005296:[51.547485, 7.4544104]
